SEASON,PET (evaporation),PRE(precipitation),TMN(temp),TMX(temp),Ha(area of land),Tons(yields),t/ha
2019,4.857142857,71.4,12.3,27.28571429, 474 000,1 170 000,2.47
2020,4.942857143,67.48571429,12.78571429,27.95714286, 711 000, 555 000,0.78
2021,5.157142857,42.58571429,13.14285714,29.02857143, 727 000,1 967 000,2.71
2022,4.885714286,60.42857143,12.78571429,27.7, 712 000,2 186 000,3.07
2023,4.542857143,82.62857143,12.47142857,26.4, 460 000, 710 000,1.54
2024,5.085714286,49.6,12.74285714,28.11428571, 683 000,2 232 000,3.27
2025,4.385714286,93.72857143,11.98571429,25.62857143, 694 000,2 050 000,2.95
2026,4.471428571,92.97142857,11.64285714,26.11428571, 665 000,1 725 000,2.59
2027,4.814285714,74.54285714,12.22857143,27.8, 682 000,1 820 000,2.67
2028,4.842857143,66.85714286,12.78571429,28.27142857, 805 000,2 727 500,3.39
2029,4.542857143,88.01428571,13,26.35714286, 610 000,1 710 000,2.80
2030,4.757142857,78.68571429,12.51428571,27.17142857, 688 000,2 064 000,3.00
2031,4.628571429,84.31428571,12.17142857,26.98571429, 805 000,2 515 000,3.12
2032,4.957142857,56.2,12.11428571,28.75714286, 660 000,2 050 000,3.11
2033,4.971428571,60.58571429,12.9,28.24285714, 660 000,2 658 000,4.03
2034,4.957142857,58.3,13.2,28.17142857, 345 000,1 400 000,4.06
2035,4.6,85.61428571,12.78571429,26.68571429, 640 000,1 925 000,3.01
2036,5.085714286,63.47142857,11.91428571,28.48571429, 690 000,2 978 000,4.32
2037,4.7,57.47142857,11.98571429,27.31428571, 565 000,2 627 250,4.65
2038,4.957142857,64.72857143,12.91428571,28.51428571, 690 000,3 174 000,4.60
2039,4.785714286,109.6571429,12.88571429,27.7, 595 000,2 590 000,4.35
2040,4.657142857,102.1857143,12.94285714,27.38571429, 710 000,3 050 000,4.30
2041,5.114285714,40.47142857,11.7,28.6, 725 000,2 574 000,3.55
2042,5.071428571,57.07142857,12.8,29.01428571, 730 000,3 759 500,5.15
2043,4.957142857,65.3,13.21428571,28.35714286, 710 000,2 236 000,3.15
2044,5,59.75714286,12.72857143,28.5, 390 000,1 190 500,3.05
2045,5.042857143,54.21428572,12.24285715,28.64285714, 805 000,5 110 000,6.35
2046,5.085714286,48.67142858,11.75714287,28.78571428, 644 000,3 542 000,5.50
